,SVM,fSVM,Logistic reg,flog reg,XBGoost,fXGB,LSTM,flstm
AV.L,0.427289048,0.336540795,0.461400359,0.423395445,0.506283662,0.501599243,0.439856373,0.34178711
IHG.L,0.515260323,0.489552786,0.461400359,0.362914049,0.506283662,0.482252771,0.518850987,0.341607565
CCL.L,0.477558348,0.337644506,0.506283662,0.429798275,0.518850987,0.490678568,0.473967684,0.341264748
ITRK.L,0.511669659,0.33847981,0.50448833,0.378227529,0.524236984,0.479077335,0.508078995,0.340138702
UU.L,0.477558348,0.444437589,0.439856373,0.425849082,0.486535009,0.476531283,0.513464991,0.339264531
AZN.L,0.491921005,0.329723225,0.509874327,0.50896268,0.513464991,0.497260607,0.508078995,0.336904762
ANTO.L,0.47935368,0.324029126,0.47935368,0.388199558,0.481149013,0.350257721,0.481149013,0.333734815
ABF.L,0.49551167,0.402262373,0.509874327,0.491456893,0.50448833,0.468467347,0.500897666,0.333732057
FLTR.L,0.481149013,0.342196777,0.526032316,0.443050632,0.488330341,0.461649592,0.484739677,0.332510762
TW.L,0.497307002,0.332134293,0.486535009,0.421309212,0.481149013,0.481041959,0.497307002,0.332134293
MNDI.L,0.500897666,0.395038287,0.49551167,0.389618797,0.477558348,0.422489445,0.493716338,0.330528846
STJ.L,0.493716338,0.330528846,0.466786355,0.422652888,0.450628366,0.449846356,0.493716338,0.330528846
SMDS.L,0.44524237,0.428258696,0.511669659,0.509009359,0.486535009,0.438444726,0.486535009,0.330348736
PSON.L,0.493716338,0.487570467,0.454219031,0.4405709,0.515260323,0.510831382,0.464991023,0.325917804
RSA.L,0.481149013,0.324848485,0.475763016,0.466082777,0.486535009,0.377629317,0.481149013,0.324848485
PRU.L,0.461400359,0.315724816,0.475763016,0.397275503,0.499102334,0.442130203,0.463195691,0.322260339
BATS.L,0.464991023,0.39702848,0.459605027,0.377769118,0.491921005,0.491685074,0.450628366,0.310643564
RDSA.L,0.436265709,0.30375,0.441651706,0.364568087,0.473967684,0.469342698,0.436265709,0.30375
BP.L,0.432675045,0.302005013,0.50448833,0.492097264,0.457809695,0.37092745,0.432675045,0.302005013
BRBY.L,0.513464991,0.513458718,0.461400359,0.40241181,0.509874327,0.506796664,0.456014363,0.252276938
BARC.L,0.549371634,0.354577057,0.545780969,0.458148289,0.52064632,0.482076999,0.497307002,0.2472019
ALL,0.506469966,0.413338271,0.503014355,0.455187862,0.499749819,0.46152135,0.512719113,0.398149491
