,SVM,fSVM,Logistic reg,flog reg,XBGoost,fXGB,LSTM,flstm
CCL.L,0.472172352,0.320731707,0.481149013,0.355419588,0.506283662,0.393724099,0.472172352,0.320731707
SLA.L,0.466786355,0.318237454,0.402154399,0.358048406,0.452423698,0.319733475,0.466786355,0.318237454
PRU.L,0.461400359,0.315724816,0.454219031,0.323294328,0.511669659,0.476170719,0.461400359,0.315724816
KGF.L,0.513464991,0.499819408,0.457809695,0.316869721,0.486535009,0.431713756,0.459605027,0.314883149
DCC.L,0.457809695,0.401390708,0.456014363,0.359728824,0.472172352,0.396706454,0.457809695,0.314039409
MRW.L,0.511669659,0.354268958,0.538599641,0.376509737,0.502692998,0.34393404,0.457809695,0.314039409
BLND.L,0.47037702,0.376633674,0.456014363,0.44396343,0.405745063,0.402966273,0.454219031,0.312345679
ITV.L,0.481149013,0.423599847,0.491921005,0.458694047,0.486535009,0.469785121,0.452423698,0.311495674
BATS.L,0.450628366,0.310643564,0.456014363,0.341830945,0.430879713,0.404137349,0.450628366,0.310643564
AV.L,0.448833034,0.309789343,0.463195691,0.348150439,0.482944345,0.460750303,0.448833034,0.309789343
RR.L,0.457809695,0.437034806,0.538599641,0.526230436,0.416517056,0.414069454,0.434470377,0.302878598
BP.L,0.432675045,0.302005013,0.439856373,0.361613965,0.461400359,0.386167274,0.432675045,0.302005013
CNA.L,0.477558348,0.476742046,0.490125673,0.390703479,0.464991023,0.450319239,0.42010772,0.295828066
VOD.L,0.44524237,0.42009077,0.436265709,0.411165428,0.452423698,0.450830615,0.414721724,0.293147208
SKG.L,0.509874327,0.437330018,0.527827648,0.424516702,0.491921005,0.439731437,0.348294434,0.247402818
ALL,0.50728116,0.402935583,0.505245533,0.416692571,0.494046952,0.447632054,0.512643836,0.372863947
