,SVM,fSVM,Logistic reg,flog reg,XBGoost,fXGB,LSTM,flstm
PSN.L,0.508078995,0.346445701,0.500897666,0.42786941,0.490125673,0.448514851,0.477558348,0.423893456
AZN.L,0.477558348,0.476234792,0.493716338,0.486283359,0.515260323,0.515246261,0.436265709,0.420806178
IMB.L,0.447037702,0.431873576,0.432675045,0.422760068,0.452423698,0.44311868,0.441651706,0.417240532
SMDS.L,0.515260323,0.452187026,0.499102334,0.446304313,0.477558348,0.459430706,0.502692998,0.416573077
INF.L,0.477558348,0.408763118,0.488330341,0.420953569,0.493716338,0.450021008,0.466786355,0.413424342
BATS.L,0.454219031,0.383203171,0.47935368,0.431888523,0.448833034,0.417079997,0.452423698,0.409606984
AUTO.L,0.476190476,0.387267905,0.5,0.4375,0.448412698,0.409099344,0.428571429,0.407058824
MRO.L,0.549371634,0.476348859,0.526032316,0.481641286,0.543985637,0.512763114,0.533213645,0.404444664
DCC.L,0.459605027,0.35310777,0.447037702,0.354392461,0.472172352,0.448670814,0.439856373,0.394143076
WPP.L,0.477558348,0.455544919,0.47037702,0.461377084,0.473967684,0.47095969,0.436265709,0.386253895
JD.L,0.603231598,0.376259798,0.603231598,0.396503459,0.538599641,0.445728225,0.603231598,0.376259798
CCL.L,0.473967684,0.333092235,0.481149013,0.385244931,0.511669659,0.465933446,0.463195691,0.368181249
FLTR.L,0.484739677,0.349460593,0.526032316,0.443050632,0.488330341,0.461649592,0.482944345,0.345838906
ALL,0.512699633,0.456219292,0.507397978,0.471662045,0.508820605,0.486642386,0.510481617,0.473832148
